group_id,name,acronym,year,address,phone,fax,email,website,campus,cytema,n_lines,n_ris3,n_offer,n_projects,n_people,detail_url
29,ECONOMÍA ESPAÑOLA E INTERNACIONAL,ISPEC GROUP,1992,"PLAZA DE LA UNIVERSIDAD, 1. E02071 - ALBACETE. (ESPAÑA)",(+34) 967 599 317,(+34) 967 599 317,CARMEN.DIAZMORA@UCLM.ES,http://blog.uclm.es/grupo-eei/,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=29
30,COMBUSTIBLES Y MOTORES,GCM,1996,AVDA. CAMILO JOSÉ CELA S/N E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 431,(+34) 926 295 361,MAGIN.LAPUERTA@UCLM.ES,,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=30
31,NEUROQUÍMICA,GNCR,1987,"AVDA. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA )",(+34) 926052505,(+34) 926 295 318,MAIRENA.MARTIN@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=31
32,CINÉTICA QUÍMICA EN DISOLUCIÓN,CQD,1986,CAMPUS UNIVERSITARIO S/N E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 300,(+34) 929 295 328,ANTONIO.MUCIENTES@UCLM.ES,,ALMADÉN,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=32
33,GRUPO SCICOM: SCIENTIFIC COMPUTING,SCICOM,1991,"PASEO DE LA UNIVERSIDAD, 4 E13071 CIUDAD REAL (ESPAÑA)",(+34) 926 295 362,(+34) 926 295 354,CAMELIA.MUNOZ@UCLM.ES,http://scicom.esi.uclm.es/,TALAVERA,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=33
36,OPTIMIZACIÓN Y MÉTODOS VARIACIONALES EN MEDIOS CONTINUOS,OMEVA,1993,CAMPUS UNIVERSITARIO S/N E13071 - CIUDAD REAL (ESPAÑA),926295161,926295361,JOSECARLOS.BELLIDO@UCLM.ES,http://matematicas.uclm.es/omeva,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=36
37,ENOLOGÍA Y PRODUCTOS NATURALES,OENUS/NATURALIA,1992,"AVDA. CAMILO JOSÉ CELA, 10 E13004 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 338,(+34) 926 295 318,SERGIO.GOMEZ@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=37
38,ALARCOS – SOFTWARE E INFORMACIÓN PARA UN MUNDO DIGITAL Y SOSTENIBLE,ALARCOS,1997,PASEO DE LA UNIVERSIDAD 4 E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 480,(+34) 926 295 354,MARIO.PIATTINI@UCLM.ES,http://alarcos.esi.uclm.es,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=38
39,FILDERMANCHA,FD-UCLM,1990,"FACULTAD DE DERECHO. PLAZA DE LA UNIVERSIDAD, 1, 02071-ALBACETE (ESPAÑA)",(+34) 967 59 92 00,(+34) 967 59 92 00,MARINA.GASCON@UCLM.ES,,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=39
40,ARCYT.ARQUEOLOGÍA ROMANA DE LA CIUDAD Y EL TERRITORIO,ARCYT,1999,"PZ. PADILLA, 4. E45071 - TOLEDO (ESPAÑA)",(+34) 925 268 860,(+34) 925 268 814,REBECA.RUBIO@UCLM.ES,,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=40
41,REDES Y ARQUITECTURAS DE ALTAS PRESTACIONES,RAAP,1993,"AV. DE ESPAÑA, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 902 204 100,(+34) 902 204 130,RAAP@INFO-AB.UCLM.ES,https://www.i3a.uclm.es/raap/,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=41
42,MODELIZACIÓN EN BIOQUÍMICA,GMB,1979,FACULTAD DE ENFERMERÍA. CAMPUS UNIVERSITARIO,+34650804241,Email de contacto:,MILAGROS.MOLINA@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=42
43,CRIMINOLOGÍA Y DELINCUENCIA JUVENIL,CRIMIJOV,1990,"PLAZA DE LA UNIVERSIDAD, 1 E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200 EXT. 2756,(+34) 967 599 216,ESTHER.FDEZ@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=43
44,"TRANSPORTES, URBANISMO Y ORDENACIÓN DEL TERRITORIO",TUOT,1999,AVDA. CAMILO JOSÉ CELA S/N E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 423,(+34) 926 295 391,ANA.RIVAS@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=44
49,NEURODEATH,NEURODEATH,1997,"PZA DE LA UNIVERSIDAD, 2 E02071 - ALBACETE (ESPAÑA)",68022232,96759920,VALENTIN.CENA@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=49
51,BIOTECNOLOGÍA Y BIOLOGÍA VEGETAL,BIOPLANTA,1990,"AVDA. CARLOS III, S/N. E45071 - TOLEDO (ESPAÑA)",(+34) 925 265 715,(+34) 925 268 840,CARMEN.FENOLL@UCLM.ES,https://www.uclm.es/grupos/gbbmp,TOLEDO,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=51
52,DIABETES Y OBESIDAD CON EL ENVEJECIMIENTO,DOE,1992,"AV. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 052692,(+34) 926 295 318,NILDA.GALLARDO@UCLM.ES,http://blog.uclm.es/crib/investigacion/diabetes-y-,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=52
53,ESTUDIOS URBANO-REGIONALES DEL DEPARTAMENTO DE GEOGRAFÍA Y ORDENACION DEL TERRITORIO,EURGEOT,1988,"CAMPUS UNIVERSITARIO, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200 EXT. 2785,(+34) 967 599 268,FRANCISCO.CEBRIAN@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=53
54,LABORATORIO DE NEUROANATOMÍA HUMANA,LNA,2000,CAMPUS UNIVERSITARIO S/N E02071 - ALBACETE (ESPAÑA),(+34) 967 599 200 EXT. 2750,(+34) 967 599 272,RICARDO.INSAUSTI@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=54
55,INVESTIGACIÓN Y DESARROLLO DE CONTENIDOS AUDIOVISUALES (IDECA),IDECA,1998,"CAMINO DE POZUELO, S/N E16071 - CUENCA (ESPAÑA)",(+34) 969 179 158,(+34) 969 179 162,IGNACIO.OLIVA@UCLM.ES,,CUENCA,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=55
56,"QUÍMICA ANALÍTICA EN LOS CAMPOS CLÍNICO, AGROALIMENTARIO Y MEDIOAMBIENTAL",QACAM,1989,"AVD. CAMILO JOSÉ CELA,10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 339,(+34) 926 295 318,ROSACARMEN.RODRIGUEZ@UCLM.ES,,TOLEDO,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=56
57,AREA DE DERECHO ADMINISTRATIVO,ADA,1986,COBERTIZO SAN PEDRO MÁRTIR S/N . 45071-TOLEDO,(+34) 967 599 200,(+34) 967 599 216,ISAAC.MDELGADO@UCLM.ES,,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=57
58,TELEDETECCIÓN Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA,TYSIG,1994,"CAMPUS UNIVERSITARIO, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2624,(+34) 967 599 233,JOSE.GONZALEZ@UCLM.ES,http://www.teledeteccionysig.es,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=58
59,QUÍMICA ORGANOMETÁLICA Y CATÁLISIS HOMOGENEA,QUIMORCA,1986,"AVDA. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 300 ext 3417,Email de contacto:,FERNANDO.CARRILLO@UCLM.ES,https://blog.uclm.es/fernandocarrillo/,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=59
60,AGRONOMIA E INGENIERÍA DEL AGUA,AGRIAGUA,1994,"CREA, CAMPUS UNIVERSITARIO - E02071 ALBACETE (ESPAÑA)",+34 926 05 28 87,Email de contacto:,ALFONSO.DOMINGUEZ@UCLM.ES,,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=60
62,LABORATORIO DE INTERACCIÓN CON EL USUARIO E INGENIERÍA DEL SOFTWARE (LOUISE),LOUISE,2000,"AVDA ESPAÑA, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2457,(+34) 967 599 224,PASCUAL.GONZALEZ@UCLM.ES,http://www.i3a.uclm.es/louise/louise/,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=62
70,"GROUP FOR RESEARCH IN ORGANIZATIONAL KNOWLEDGE, INNOVATION & STRATEGY",GROKIS,2001,"RONDA DE TOLEDO, S/N E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 300 EXT. 3594,(+34) 926 295 407,FATIMA.GUADAMILLAS@UCLM.ES,,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=70
71,DERECHO FINANCIERO Y TRIBUTARIO,GIDEFIT,1991,"SAN PEDRO MÁRTIR, S/N E45071 - TOLEDO (ESPAÑA)",(+34) 925 268 800 EXT. 5158,(+34) 925 268 801,MIGUELANGEL.COLLADO@UCLM.ES,http://www.uclm.es/cief,TOLEDO,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=71
72,"STRATEGY, INNOVATION, TECHNOLOGY, ENTREPRENEURSHIP AND FAMILY BUSINESS",SITEFB,1995,"PLAZA DE LA UNIVERSIDAD, 1 E02071 - ALBACETE (ESPAÑA)",+34926053300,Email de contacto:,JUAN.JIMENEZ@UCLM.ES,https://blog.uclm.es/juanjimenez/transferencia/,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=72
73,DERECHO PENAL,DEPE,1990,"REAL CASA DE LA MISERICORDIA, CALLE ALTAGRACIA Nº 50. CIUDAD REAL.",(+34) 902 204 100. EXT. 6316,(+34) 926 295 235,ROSARIO.VICENTE@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=73
74,DINÁMICA Y VIBRACIONES,DYNAMO,1999,"CAMPUS UNIVERSITARIO, S/N E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 434,(+34) 926 295 361,PUBLIO.PINTADO@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=74
75,SISTEMAS INTELIGENTES APLICADOS (ORETO),ORETO,1997,"PASEO DE LA UNIVERSIDAD, 4 E13170 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 484,(+34) 926 295 354,LUIS.JIMENEZ@UCLM.ES,https://www.uclm.es/es/grupos/oreto/oreto,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=75
82,INVESTIGACIÓN INTERDISCIPLINAR DE SISTEMAS DINÁMICOS,GI²SD,2002,"AVDA ESPAÑA S/N, E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2458,(+34) 967 599 224,MARIAMAR.ARTIGAO@UCLM.ES,,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=82
83,CIENCIA E INGENIERÍA DE LOS MATERIALES Y DE FABRICACIÓN,CIMAF,2002,"AVDA. ESPAÑA, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2443,(+34) 967 599 224,VALENTIN.MIGUEL@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=83
84,NANOTECNOLOGÍA Y MATERIALES,NANOMAT,2002,"PLAZA MANUEL MECA, 1 E13400 - ALMADÉN (CIUDAD REAL - ESPAÑA)",(+34) 926 26 40 07,(+34) 926 26 44 01,TERESA.CUBERES@UCLM.ES,http://blog.uclm.es/gruponanomat/,ALMADÉN,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=84
85,INVESTIGACIÓN CUALITATIVA SOBRE ENFERMERÍA Y SOCIEDAD,GICES,2003,"PZA. DE LA UNIVERSIDAD,2 E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2766,(+34) 967 599 346,VICTORIA.DELICADO@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=85
87,DERECHO CONSTITUCIONAL,GRUCONS,2002,"COBERTIZO DE SAN PEDRO MÁRTIR, S/N E45071 - TOLEDO (ESPAÑA)",(+34) 925 268 800 EXT. 5188,(+34) 925 268 801,FCOJAVIER.DREVORIO@UCLM.ES,https://blog.uclm.es/derechoconstitucionaltoledo/,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=87
91,SISTEMAS INTELIGENTES Y MINERÍA DE DATOS,SIMD,2002,"INSTITUTO DE INVESTIGACIÓN EN INFORMÁTICA. AVDA. ESPAÑA, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2473,(+34) 967 599 224,JOSE.GAMEZ@UCLM.ES,https://www.i3a.uclm.es/simd,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=91
92,MARKETING Y NUEVAS TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,MARKETIC,2002,"PLAZA DE LA UNIVERSIDAD, S/N E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200. EXT. 2309,(+34) 967 599 224,MIGUELANGEL.GBORJA@UCLM.ES,http://www.marketic.es,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=92
93,MSOC-FOTÓNICA ORGÁNICA-RMN,MSOC-PHOTONMR,1993,"AVDA. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 411,(+34) 926 295 318,ANGEL.DIAZ@UCLM.ES,https://www.uclm.es/grupos/umsoc,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=93
94,QUÍMICA DE LA COORDINACIÓN APLICADA,QCA,2002,"AVDA. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 370,(+34) 926 295 318,BLANCA.MANZANO@UCLM.ES,https://www.uclm.es/home/misiones/investigacion/ofertacientificotecnica/gruposinvestigacion/detallegrupo?idgrupo=94,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=94
